y_test,predicted_price
390000.0,370301.6
491000.0,503420.01
250000.0,271566.38
300000.0,270640.42666666664
255000.0,265095.0
410000.0,421671.5714285714
322000.0,367062.76
338000.0,335705.0
510000.0,504436.6
678000.0,712923.76
485000.0,484191.18
282000.0,339202.5
650000.0,723987.5
373000.0,374755.0
310000.0,297265.69
480000.0,484330.0
640000.0,638947.32
260000.0,252680.0
455000.0,437289.45
540000.0,564283.08
342000.0,349194.41666666674
375000.0,360493.32
500888.0,475235.44
228000.0,250314.22
706888.0,671618.64
248000.0,241799.0
285000.0,287539.1666666667
688800.0,662702.74
850000.0,827771.88
320000.0,361499.44
588000.0,597335.0
453000.0,423290.84
390000.0,387361.65333333326
570000.0,608320.0
340000.0,314628.58
615000.0,702777.6
578000.0,583649.44
350000.0,322947.5
307000.0,324413.58
675000.0,649317.64
400000.0,408534.32
275000.0,255800.0
225000.0,240110.0
315000.0,306683.32
335000.0,347468.88
235000.0,255514.96
320000.0,341079.94
245000.0,265605.0
450000.0,446566.7
450000.0,437874.44
515000.0,483444.29333333333
338000.0,329796.24
535000.0,551521.08
390000.0,385059.5
860000.0,854630.0
595000.0,518510.52
430000.0,415063.88
305000.0,314037.5
648000.0,621657.44
490000.0,473296.2
270000.0,290544.44
640000.0,640283.88
660000.0,674817.72
372000.0,398802.76
635888.0,539200.34
420000.0,487030.68
350000.0,338854.44
460000.0,461256.6666666666
430000.0,435586.64
520000.0,417824.96
490000.0,525103.32
420000.0,408478.54
500000.0,530685.22
367000.0,380064.44
950000.0,836027.64
455000.0,438103.99666666664
1005000.0,1008485.52
302000.0,310240.4633333333
999000.0,969528.615
337000.0,310670.66
435000.0,427779.44
470000.0,448428.88
600000.0,678581.88
708000.0,652966.94
283000.0,281345.5
360000.0,362508.75
390000.0,382733.32
460000.0,461610.57
475000.0,471509.88
403300.0,394822.63
460000.0,467727.24
515000.0,480506.3533333333
430000.0,454672.2
905000.0,883241.76
595000.0,568912.42
277888.0,294456.6
438000.0,450621.0
257000.0,255485.0
282000.0,265474.36
715000.0,711984.6866666665
465000.0,455286.62
358000.0,351070.0
340000.0,394747.6666666666
235000.0,262081.5
655000.0,631134.96
300000.0,326690.64
425000.0,453503.12999999995
450000.0,443909.44
400000.0,427168.94
460000.0,482908.88
720000.0,671506.94
900000.0,790533.41
278000.0,279132.44
220000.0,234305.94
303000.0,311093.2
362000.0,341742.83
383000.0,392861.38
465000.0,452431.9
273000.0,297045.0
350000.0,360176.82
350000.0,391136.66
405000.0,364971.94
520000.0,490550.26
530000.0,541405.0
550000.0,513205.0
820000.0,826058.32
275000.0,243347.75000000003
543000.0,508773.88
430000.0,432023.88
388000.0,386557.76
405000.0,426218.44
378000.0,369004.7
445000.0,433761.21
355000.0,374439.32
825000.0,941082.5
488000.0,491870.96
365000.0,380645.94
305000.0,278151.2
805000.0,804161.44
370000.0,372010.0
520000.0,518471.64
450000.0,455992.2133333334
495000.0,527027.61
390000.0,416229.36
840000.0,829702.84
380000.0,394763.88
478000.0,468126.38
200000.0,223236.94
548000.0,618812.17
442000.0,407788.32
475000.0,474450.6
530000.0,525958.3
948888.0,902915.48
482000.0,460320.0
285000.0,291018.88
420000.0,376417.5
488888.0,464076.66
380000.0,467384.0
368000.0,378453.88
345888.0,344015.0
484000.0,486819.94666666666
447500.0,427364.44
1058000.0,993082.08
390000.0,392935.63
728000.0,717232.76
355000.0,407855.28
450000.0,473372.5066666667
535000.0,481950.80666666664
460000.0,453915.0
420000.0,419376.94
430000.0,422792.0
638000.0,618220.545
838000.0,806184.0
300000.0,283485.0
353000.0,361222.22
368500.0,349839.44
400000.0,433476.6
250000.0,272450.00000000006
325000.0,366539.8
1015000.0,1017673.08
530000.0,489868.875
208000.0,215621.0
395000.0,408781.94
315000.0,333785.82
348000.0,398381.38
636000.0,604539.16
370000.0,344258.7833333334
385000.0,378334.79
423000.0,442143.88
343000.0,371688.43
470000.0,489227.56
538888.0,559798.84
550000.0,523298.88
365000.0,388272.22
402000.0,416464.9866666667
