resale_price,predicted_price
390000.0,451258.3106542388
491000.0,595666.4315571017
250000.0,299178.03705703537
300000.0,258900.05761822977
255000.0,239525.76632113417
410000.0,482752.27287418314
322000.0,406806.39395516866
338000.0,367861.4211137928
510000.0,521118.57792804786
678000.0,613369.3189660519
485000.0,403733.49398583267
282000.0,334219.6686533843
650000.0,722389.6312875745
373000.0,445745.859123586
310000.0,322039.878485839
480000.0,501404.4337461167
640000.0,705179.6595477096
260000.0,280824.944200555
455000.0,476947.97470142157
540000.0,462154.6297056377
342000.0,401572.4250966277
375000.0,369280.18177571427
500888.0,382448.2770594449
228000.0,180004.7355078039
706888.0,715101.0372821459
248000.0,172837.44519706524
285000.0,228616.90818241064
688800.0,547029.8747354298
850000.0,664816.0173585353
320000.0,331490.93921086425
588000.0,479217.99403326865
453000.0,377770.6912988067
390000.0,441472.1479917895
570000.0,688676.8998333862
340000.0,337053.345188817
615000.0,554285.223975699
578000.0,611793.6147626719
350000.0,373542.6067954417
307000.0,322710.39989700145
675000.0,660076.8766032124
400000.0,459534.83757553075
275000.0,313061.1792364011
225000.0,236451.65647469554
315000.0,268905.86238199775
335000.0,398359.5260510645
235000.0,287814.1159925808
320000.0,345434.6452082568
245000.0,228050.98238175444
450000.0,515965.9438966606
450000.0,433586.3677167917
515000.0,490031.81757368124
338000.0,372987.2661664658
535000.0,609859.0966053982
390000.0,442925.92178429384
860000.0,743531.6760114166
595000.0,479526.7947851218
430000.0,377520.7842476324
305000.0,335609.43296626024
648000.0,503999.98165676044
490000.0,460765.93048437044
270000.0,304544.4022469986
640000.0,623046.6818527454
660000.0,559630.114092138
372000.0,395376.78175600513
635888.0,525181.7045086374
420000.0,455113.14415816416
350000.0,318576.05570612475
460000.0,445214.2104006612
430000.0,518574.15962738043
520000.0,332416.0608734925
490000.0,526614.4652666379
420000.0,378387.93139855016
500000.0,472640.77425719774
367000.0,396230.5256145991
950000.0,775693.781261073
455000.0,435984.1037834517
1005000.0,915394.3161361273
302000.0,292701.0892955642
999000.0,937935.2364495776
337000.0,229890.73062524037
435000.0,489819.3355978185
470000.0,438540.435523954
600000.0,681802.1362451789
708000.0,650939.0813702493
283000.0,209925.005821452
360000.0,295558.6570032841
390000.0,449443.7553648617
460000.0,472647.794437452
475000.0,447645.8146653469
403300.0,459392.77931153413
460000.0,466560.8591010234
515000.0,444643.71023519244
430000.0,469136.9099620966
905000.0,785189.331566273
595000.0,561679.5106786168
277888.0,261695.5392986203
438000.0,427095.2704599191
257000.0,367664.69942289847
282000.0,234733.3202433691
715000.0,644911.1084711323
465000.0,605904.1687902145
358000.0,403591.7082987024
340000.0,397225.22337341565
235000.0,278500.91270051675
655000.0,566982.6006144617
300000.0,371742.58914179774
425000.0,572817.3660742514
450000.0,360354.0345985084
400000.0,465850.1129330301
460000.0,522846.73506598384
720000.0,544350.4646544575
900000.0,720050.2755639793
278000.0,324291.6157790094
220000.0,295861.3341411608
303000.0,298877.5132105759
362000.0,399964.7500386521
383000.0,389734.3677903436
465000.0,449578.2202765973
273000.0,193732.7567559331
350000.0,337381.3540213547
350000.0,305937.91164330253
405000.0,311976.40639505757
520000.0,511568.11378315534
530000.0,552904.6207782652
550000.0,607269.6630817787
820000.0,867214.0255052727
275000.0,299353.695288348
543000.0,482907.85334375675
430000.0,398448.2706657265
388000.0,381507.22577946004
405000.0,448468.5005977078
378000.0,414681.53449469013
445000.0,488948.8084559317
355000.0,341155.79474381544
825000.0,809069.1716792623
488000.0,423247.28434719006
365000.0,405537.8417189461
305000.0,198183.1649152792
805000.0,718937.9100504261
370000.0,439031.54018774105
520000.0,535569.7656537953
450000.0,505457.0131508348
495000.0,445109.95552120754
390000.0,437185.1595724063
840000.0,749132.405020891
380000.0,372045.508621729
478000.0,477890.0598922337
200000.0,133101.10776398645
548000.0,632231.4550022365
442000.0,467993.049058442
475000.0,537661.0972522193
530000.0,586090.1024707691
948888.0,805798.9878946312
482000.0,481195.19166609354
285000.0,285361.7173168983
420000.0,371162.4610804969
488888.0,493475.2285316903
380000.0,486663.70515613945
368000.0,431491.74157009006
345888.0,338120.71167851426
484000.0,500907.8247895868
447500.0,417996.1355702998
1058000.0,821987.967703939
390000.0,414507.13832458726
728000.0,685788.7124675993
355000.0,316912.27667707193
450000.0,449260.21766213176
535000.0,566327.7858289616
460000.0,439334.13171934616
420000.0,485142.2472809162
430000.0,488010.29510109976
638000.0,540450.7317931834
838000.0,791350.0722544759
300000.0,299880.5702202929
353000.0,434655.4495833451
368500.0,397527.0249999515
400000.0,442289.73856544786
250000.0,228501.67507551855
325000.0,377511.34528727
1015000.0,823973.8373346359
530000.0,476787.57440588064
208000.0,157448.1271829704
395000.0,465044.5354598472
315000.0,354705.82187096775
348000.0,431028.76616290514
636000.0,561593.9916499627
370000.0,387414.4911324567
385000.0,480919.5487650201
423000.0,460742.28290858853
343000.0,420802.36199642066
470000.0,491023.3825105259
538888.0,523240.3250065942
550000.0,582103.043297204
365000.0,365193.5334199942
402000.0,443077.4564809854
368888.0,333141.6159402594
830000.0,759974.603177387
280000.0,335180.7987135218
602500.0,608185.9019647649
615000.0,645318.1094418758
663888.0,618575.2371495821
342500.0,329477.78015880147
615000.0,721308.760782141
425000.0,475400.1983516548
655888.0,640382.8674540252
330000.0,379111.4249876271
543000.0,518824.80939388345
292000.0,303070.9013568687
270000.0,235200.71719304984
225888.0,230823.00901463418
630000.0,512277.6827594115
435000.0,317126.5178671429
432000.0,481471.121459887
432000.0,367482.84905663773
635000.0,678693.9137291708
498000.0,552273.9210492952
720000.0,698000.9006371298
405000.0,503216.3989153047
770000.0,731169.7045069381
608000.0,569765.1189627148
402000.0,514706.5016601413
343000.0,345792.5870884792
470000.0,515962.1245634812
642000.0,587140.1294917442
282000.0,216478.36200306856
528888.0,503783.28264601796
340000.0,398950.11683684273
670000.0,718480.8661121607
515000.0,616554.4130614831
545000.0,511341.45105373766
350000.0,424649.1796748638
455000.0,544309.9771273704
290000.0,133748.44499096076
380000.0,344839.6405267952
399000.0,466932.52247818315
270000.0,269448.08073541836
400000.0,273507.1578835583
540000.0,583776.3281341979
290000.0,273717.18041608867
708888.0,635069.7713782858
695000.0,735582.2030700403
395000.0,431009.6829645061
390000.0,456913.43077926314
405000.0,423064.0687421404
420000.0,455994.02344273357
520000.0,436244.2628224981
553000.0,573090.5883592705
603000.0,586110.9458293399
747000.0,660179.2766096267
285000.0,257195.31662805157
735000.0,704524.0824525894
400000.0,390496.912513118
460000.0,565792.346044186
438000.0,454129.8252714735
655000.0,660191.3811939567
260000.0,343984.5138703367
260000.0,264203.5287750192
280000.0,334196.24256146303
415000.0,453696.2737459433
766000.0,758757.7482539779
350000.0,271580.6114749783
375000.0,444190.6580155706
440000.0,436140.3231689326
395000.0,437271.9870108102
328000.0,329701.84828517353
755000.0,685277.9094297559
885000.0,796260.8823959753
550000.0,531216.8230571207
632000.0,545506.6306638157
365000.0,403138.49334568053
325000.0,359452.0094137506
380000.0,412062.6818780262
430000.0,502565.3854844164
395000.0,352316.8831789681
392000.0,363737.8371124893
402000.0,365497.56202298205
305000.0,360346.6423450839
380000.0,441717.79089988314
715000.0,670885.2519792165
577000.0,558903.6288835108
528000.0,570705.3485205957
430000.0,431307.7418409105
316000.0,349263.998652354
600000.0,551708.9948444559
439000.0,534709.9126794527
450000.0,521970.5791398593
240000.0,284277.83669710613
280000.0,270227.9687118797
685000.0,606243.3835202123
270000.0,207702.3663001079
272000.0,186217.19385073305
390000.0,383911.1172505644
405000.0,488762.8962586045
540000.0,549236.4059219464
418500.0,495242.7256390215
365000.0,399040.62293978676
345000.0,336570.17426377593
385000.0,330999.6965694956
340000.0,370450.0333717718
238000.0,285462.9131539479
500000.0,551179.8550850027
386000.0,347738.28330585675
395000.0,401988.697511817
412888.0,396754.2743984548
270000.0,193197.4011582287
