,licensee_name,address
119,SHENG SIONG SUPERMARKET PTE LTD,108 MCNAIR ROAD
120,NTUC Fairprice Co-operative Ltd,43 CAMBRIDGE ROAD
121,NTUC Fairprice Co-operative Ltd,80 LORONG LIMAU
122,HAO MART PTE. LTD.,74 WHAMPOA DRIVE
125,COLD STORAGE SINGAPORE (1983) PTE LTD,442 ORCHARD ROAD
128,COLD STORAGE SINGAPORE (1983) PTE LTD,163 TANGLIN ROAD
129,COLD STORAGE SINGAPORE (1983) PTE LTD,383 BUKIT TIMAH ROAD
130,COLD STORAGE SINGAPORE (1983) PTE LTD,1 CLAYMORE DRIVE
132,NTUC Fairprice Co-operative Ltd,6 SCOTTS ROAD
133,COLD STORAGE SINGAPORE (1983) PTE LTD,290 ORCHARD ROAD
134,COLD STORAGE SINGAPORE (1983) PTE LTD,81 CLEMENCEAU AVENUE
135,NTUC Fairprice Co-operative Ltd,131 KILLINEY ROAD
136,COLD STORAGE SINGAPORE (1983) PTE LTD,68 ORCHARD ROAD
139,COLD STORAGE SINGAPORE (1983) PTE LTD,111 SOMERSET ROAD
140,COLD STORAGE SINGAPORE (1983) PTE LTD,2 ORCHARD TURN
141,COLD STORAGE SINGAPORE (1983) PTE LTD,391A ORCHARD ROAD
142,NTUC Fairprice Co-operative Ltd,6 POTONG PASIR AVENUE 2
144,COLD STORAGE SINGAPORE (1983) PTE LTD,266 COMPASSVALE BOW
145,NTUC Fairprice Co-operative Ltd,BLK 277C COMPASSVALE LINK
146,COLD STORAGE SINGAPORE (1983) PTE LTD,259 PASIR RIS STREET 21
147,NTUC Fairprice Co-operative Ltd,279 SENGKANG EAST AVENUE
150,NTUC Fairprice Co-operative Ltd,11 RIVERVALE CRESCENT
151,NTUC Fairprice Co-operative Ltd,118 RIVERVALE DRIVE
152,NTUC Fairprice Co-operative Ltd,308C PUNGGOL WALK
153,PRIME SUPERMARKET LIMITED?,263 COMPASSVALE STREET
154,SHENG SIONG SUPERMARKET PTE LTD,312A SUMANG LINK
155,U STARS SUPERMARKET PTE. LTD.,261 PUNGGOL WAY
157,NTUC Fairprice Co-operative Ltd,612 PUNGGOL DRIVE
158,NTUC Fairprice Co-operative Ltd,83 PUNGGOL CENTRAL
159,SHENG SIONG SUPERMARKET PTE LTD,301 PUNGGOL CENTRAL
160,COLD STORAGE SINGAPORE (1983) PTE LTD,671 EDGEFIELD PLAINS
161,NTUC Fairprice Co-operative Ltd,168 PUNGGOL FIELD
162,PRIME SUPERMARKET LIMITED?,108 PUNGGOL FIELD
163,COLD STORAGE SINGAPORE (1983) PTE LTD,622D PUNGGOL CENTRAL
165,SHENG SIONG SUPERMARKET PTE LTD,527D PASIR RIS STREET 51
166,COLD STORAGE SINGAPORE (1983) PTE LTD,21 TAMPINES NORTH DRIVE 2
168,NTUC Fairprice Co-operative Ltd,1 PASIR RIS CENTRAL STREET 3
169,NTUC Fairprice Co-operative Ltd,734 PASIR RIS STREET 72
170,NTUC Fairprice Co-operative Ltd,1 PASIR RIS CLOSE
171,SHENG SIONG SUPERMARKET PTE LTD,258 PASIR RIS STREET 21
172,COLD STORAGE SINGAPORE (1983) PTE LTD,440 PASIR RIS DRIVE 4
173,NTUC Fairprice Co-operative Ltd,475 TAMPINES STREET 44
174,SHENG SIONG SUPERMARKET PTE LTD,506 TAMPINES CENTRAL 1
175,COLD STORAGE SINGAPORE (1983) PTE LTD,9 TAMPINES STREET 32
177,NTUC Fairprice Co-operative Ltd,2 TAMPINES CENTRAL 5
178,NTUC Fairprice Co-operative Ltd,4 TAMPINES CENTRAL 5
179,COLD STORAGE SINGAPORE (1983) PTE LTD,10 TAMPINES CENTRAL 1
180,NTUC Fairprice Co-operative Ltd,866A TAMPINES STREET 83
181,NTUC Fairprice Co-operative Ltd,138 TAMPINES STREET 11
182,NTUC Fairprice Co-operative Ltd,107 TAMPINES STREET 11
186,PRIME SUPERMARKET LIMITED?,823 TAMPINES STREET 81
187,COLD STORAGE SINGAPORE (1983) PTE LTD,829 TAMPINES STREET 81
188,NTUC Fairprice Co-operative Ltd,745 BEDOK RESERVOIR ROAD
189,SHENG SIONG SUPERMARKET PTE LTD,739A BEDOK RESERVOIR ROAD
191,COLD STORAGE SINGAPORE (1983) PTE LTD,509 BEDOK NORTH STREET 3
192,SHENG SIONG SUPERMARKET PTE LTD,539A BEDOK NORTH STREET 3
193,COLD STORAGE SINGAPORE (1983) PTE LTD,631 BEDOK RESERVOIR ROAD
198,COLD STORAGE SINGAPORE (1983) PTE LTD,205 HOUGANG STREET 21
199,PRIME SUPERMARKET (1996) PTE LTD,159A HOUGANG STREET 11
200,NTUC Fairprice Co-operative Ltd,202 HOUGANG STREET 21
201,NTUC Fairprice Co-operative Ltd,476 UPPER SERANGOON VIEW
204,NTUC Fairprice Co-operative Ltd,100 HOUGANG AVENUE 10
205,NTUC Fairprice Co-operative Ltd,90 HOUGANG AVENUE 10
206,NTUC Fairprice Co-operative Ltd,152B SERANGOON NORTH AVENUE 1
207,NTUC Fairprice Co-operative Ltd,1 MAJU AVENUE
210,PRIME SUPERMARKET (1996) PTE LTD,106 HOUGANG AVENUE 1
211,NTUC Fairprice Co-operative Ltd,888 WOODLANDS DRIVE 50
212,NTUC Fairprice Co-operative Ltd,30 WOODLANDS AVENUE 1
215,NTUC Fairprice Co-operative Ltd,587 BUKIT TIMAH ROAD
218,COLD STORAGE SINGAPORE (1983) PTE LTD,21 GHIM MOH ROAD
219,SHENG SIONG SUPERMARKET PTE LTD,25 GHIM MOH LINK
220,COLD STORAGE SINGAPORE (1983) PTE LTD,1 FIFTH AVENUE
223,COLD STORAGE SINGAPORE (1983) PTE LTD,256 BANGKIT ROAD
224,COLD STORAGE SINGAPORE (1983) PTE LTD,445 FAJAR ROAD
225,NTUC Fairprice Co-operative Ltd,2 BUKIT PANJANG RING ROAD
226,SHENG SIONG SUPERMARKET PTE LTD,547 SEGAR ROAD
227,NTUC Fairprice Co-operative Ltd,628 SENJA ROAD
229,COLD STORAGE SINGAPORE (1983) PTE LTD,524A JELAPANG ROAD
233,COLD STORAGE SINGAPORE (1983) PTE LTD,464 UPPER BUKIT TIMAH ROAD
234,COLD STORAGE SINGAPORE (1983) PTE LTD,1 WOODLANDS ROAD
235,NTUC Fairprice Co-operative Ltd,1 JELEBU ROAD
236,SHENG SIONG SUPERMARKET PTE LTD,301 WOODLANDS STREET 31
